key,index,indexSymbol,last,variation,percentChange,open,high,low,previousClose,yearHigh,yearLow,pe,pb,dy,declines,advances,unchanged,perChange365d,perChange30d,previousDay,oneWeekAgoVal,oneMonthAgoVal,oneYearAgoVal,_collected_on
INDICES ELIGIBLE IN DERIVATIVES,NIFTY 50,NIFTY 50,24248.7,-85.6,-0.35,24190.05,24262.35,24135.85,24334.3,26373.2,22182.55,20.96,3.13,1.24,15,35,0,-2.88,0.98,17-Jul-2026,24211.0,24013.1,24968.4,2026-07-20
INDICES ELIGIBLE IN DERIVATIVES,NIFTY NEXT 50,NIFTY NEXT 50,72369.2,540.8,0.75,71745.35,72373.5,71595.4,71828.4,73141.05,59896.1,18.84,3.43,1.26,17,33,0,6.07,0.02,17-Jul-2026,72111.4,72356.65,68225.15,2026-07-20
INDICES ELIGIBLE IN DERIVATIVES,NIFTY BANK,NIFTY BANK,57900.35,-621.05,-1.06,57738.25,57963.55,57533.1,58521.4,61764.85,49954.85,14.7,1.88,0.79,5,9,0,2.87,0.37,17-Jul-2026,58131.45,57685.75,56283.0,2026-07-20
INDICES ELIGIBLE IN DERIVATIVES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,26556.05,-347.3,-1.29,26557.3,26602.3,26360.4,26903.35,28562.5,23373.95,17.2,2.7,0.97,8,12,0,0.0,0.47,17-Jul-2026,26836.15,26431.15,26556.15,2026-07-20
INDICES ELIGIBLE IN DERIVATIVES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,14784.5,69.1,0.47,14700.5,14786.05,14651.05,14715.4,14876.45,12046.2,30.57,4.9,0.62,7,18,0,12.25,1.13,17-Jul-2026,14839.65,14618.95,13171.0,2026-07-20
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,25289.05,-38.6,-0.15,25199.4,25290.3,25161.55,25327.65,26975.15,22720.45,20.54,3.18,1.24,32,68,0,-1.31,0.81,17-Jul-2026,25240.8,25086.65,25623.5,2026-07-20
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,14015.2,1.05,0.01,13953.2,14015.6,13935.75,14014.15,14700.95,12396.1,21.91,3.41,1.12,62,138,0,0.16,0.75,17-Jul-2026,14003.1,13911.25,13993.45,2026-07-20
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,23344.15,7.85,0.03,23244.3,23344.6,23219.45,23336.3,24144.2,20385.65,23.04,3.47,1.06,209,289,2,0.3,0.86,17-Jul-2026,23347.05,23144.2,23275.15,2026-07-20
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,18052.25,121.4,0.68,17902.0,18053.45,17867.5,17930.85,18114.45,14804.55,33.49,4.76,0.6,15,35,0,8.45,1.79,17-Jul-2026,18089.55,17735.3,16645.4,2026-07-20
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,62833.65,405.6,0.65,62335.75,62837.5,62249.75,62428.05,63183.35,52032.85,29.97,4.8,0.61,30,70,0,6.31,0.51,17-Jul-2026,63040.95,62517.3,59104.5,2026-07-20
