bcEndDate,bcStartDate,caBroadcastDate,comp,exDate,faceVal,ind,isin,ndEndDate,ndStartDate,recDate,series,subject,symbol
-,-,,Orbit Exports Limited,15-Jul-2026,10,-,INE231G01010,-,-,15-Jul-2026,EQ,Buy Back,ORBTEXP
-,-,,Heritage Foods Limited,15-Jul-2026,5,-,INE978A01019,-,-,15-Jul-2026,EQ,Dividend - Rs 2.50 Per Share,HERITGFOOD
-,-,,Kfin Technologies Limited,15-Jul-2026,10,-,INE138Y01010,-,-,15-Jul-2026,EQ,Dividend - Rs 12 Per Share,KFINTECH
-,-,,Bharat Bijlee Limited,15-Jul-2026,5,-,INE464A01028,-,-,15-Jul-2026,EQ,Dividend - Rs 35 Per Share,BBL
-,-,,Tata Consultancy Services Limited,15-Jul-2026,1,-,INE467B01029,-,-,15-Jul-2026,EQ,Interim Dividend - Rs 12 Per Share,TCS
-,-,,Coromandel International Limited,16-Jul-2026,1,-,INE169A01023,-,-,16-Jul-2026,EQ,Dividend - Rs 2 Per Share,COROMANDEL
-,-,,Craftsman Automation Limited,16-Jul-2026,5,-,INE00LO01017,-,-,16-Jul-2026,EQ,Dividend - Rs. 11.25 Per Share,CRAFTSMAN
-,-,,Aspinwall and Company Limited,16-Jul-2026,10,-,INE991I01015,-,-,16-Jul-2026,EQ,Dividend - Rs 6.50 Per Share,ASPINWALL
-,-,,Canara Robeco Asset Management Company Limited,16-Jul-2026,10,-,INE218I01013,-,-,16-Jul-2026,EQ,Dividend - Rs 2.50 Per Share,CRAMC
-,-,,GRP Limited,16-Jul-2026,10,-,INE137I01015,-,-,16-Jul-2026,EQ,Dividend - Rs 3.50 Per Share,GRPLTD
-,-,,Windlas Biotech Limited,16-Jul-2026,5,-,INE0H5O01029,-,-,16-Jul-2026,EQ,Dividend - Rs 6.30 Per Share,WINDLAS
-,-,,Weizmann Limited,16-Jul-2026,10,-,INE080A01014,-,-,16-Jul-2026,EQ,Dividend - Rs 0.50 Per Share,WEIZMANIND
-,-,,Ador Welding Limited,16-Jul-2026,10,-,INE045A01017,-,-,16-Jul-2026,EQ,Dividend - Rs 23 Per Share,ADOR
-,-,,Shanthi Gears Limited,17-Jul-2026,1,-,INE631A01022,-,-,17-Jul-2026,EQ,Dividend - Rs 2 Per Share,SHANTIGEAR
-,-,,Soma Textiles & Industries Limited,17-Jul-2026,10,-,INE314C01013,-,-,17-Jul-2026,EQ,Dividend - Re 0.50  Per Share,SOMATEX
-,-,,Sonata Software Limited,17-Jul-2026,1,-,INE269A01021,-,-,17-Jul-2026,EQ,Dividend - Rs 4.15 Per Share,SONATSOFTW
-,-,,Sumitomo Chemical India Limited,17-Jul-2026,10,-,INE258G01013,-,-,17-Jul-2026,EQ,Dividend - Rs 1.30 Per Share,SUMICHEM
-,-,,Sundaram Brake Linings Limited,17-Jul-2026,10,-,INE073D01013,-,-,17-Jul-2026,EQ,Dividend - Re 0.65 Per Share,SUNDRMBRAK
-,-,,Suryoday Small Finance Bank Limited,17-Jul-2026,10,-,INE428Q01011,-,-,17-Jul-2026,EQ,Dividend - Rs 1.50 Per Share,SURYODAY
-,-,,Symphony Limited,17-Jul-2026,2,-,INE225D01019,-,-,17-Jul-2026,EQ,Dividend - Rs 5 Per Share,SYMPHONY
-,-,,SHREE CEMENT LIMITED,17-Jul-2026,10,-,INE070A01015,-,-,17-Jul-2026,EQ,Dividend - Rs 70 Per Share,SHREECEM
-,-,,TTK Healthcare Limited,17-Jul-2026,10,-,INE910C01018,-,-,17-Jul-2026,EQ,Dividend - Rs 10 Per Share,TTKHLTCARE
-,-,,Uniphos Enterprises Limited,17-Jul-2026,2,-,INE037A01022,-,-,17-Jul-2026,EQ,Dividend - Rs 3.50 Per Share,UNIENTER
-,-,,UPL Limited,17-Jul-2026,2,-,INE628A01036,-,-,17-Jul-2026,EQ,Dividend - Rs 6 Per Share,UPL
-,-,,Veedol Corporation Limited,17-Jul-2026,2,-,INE484C01030,-,-,17-Jul-2026,EQ,Dividend - Rs 22 Per Share,VEEDOL
-,-,,V-Mart Retail Limited,17-Jul-2026,10,-,INE665J01013,-,-,17-Jul-2026,EQ,Dividend - Re 1 Per Share,VMART
