key,index,indexSymbol,last,variation,percentChange,open,high,low,previousClose,yearHigh,yearLow,indicativeClose,pe,pb,dy,declines,advances,unchanged,perChange365d,perChange30d,date365dAgo,date30dAgo,previousDay,oneWeekAgo,oneMonthAgoVal,oneWeekAgoVal,oneYearAgoVal,previousDayVal,_collected_on
INDICES ELIGIBLE IN DERIVATIVES,NIFTY 50,NIFTY 50,24253.05,-81.25,-0.33,24190.05,24262.35,24135.85,24334.3,26373.2,22182.55,0,20.96,3.13,1.24,15,35,0,-2.87,1.0,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,24013.1,24211.0,24968.4,24334.3,2026-07-20
INDICES ELIGIBLE IN DERIVATIVES,NIFTY NEXT 50,NIFTY NEXT 50,72364.3,535.9,0.75,71745.35,72373.5,71595.4,71828.4,73141.05,59896.1,0,18.84,3.43,1.26,16,34,0,6.07,0.01,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,72356.65,72111.4,68225.15,71828.4,2026-07-20
INDICES ELIGIBLE IN DERIVATIVES,NIFTY BANK,NIFTY BANK,57905.65,-615.75,-1.05,57738.25,57963.55,57533.1,58521.4,61764.85,49954.85,0,14.7,1.88,0.79,5,9,0,2.88,0.38,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,57685.75,58131.45,56283.0,58521.4,2026-07-20
INDICES ELIGIBLE IN DERIVATIVES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,26558.8,-344.55,-1.28,26557.3,26602.3,26360.4,26903.35,28562.5,23373.95,0,17.2,2.7,0.97,8,12,0,0.01,0.48,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,26431.15,26836.15,26556.15,26903.35,2026-07-20
INDICES ELIGIBLE IN DERIVATIVES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,14786.95,71.55,0.49,14700.5,14787.2,14651.05,14715.4,14876.45,12046.2,0,30.57,4.9,0.62,7,18,0,12.27,1.15,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,14618.95,14839.65,13171.0,14715.4,2026-07-20
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,25292.65,-35.0,-0.14,25199.4,25293.7,25161.55,25327.65,26975.15,22720.45,0,20.54,3.18,1.24,31,69,0,-1.29,0.82,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,25086.65,25240.8,25623.5,25327.65,2026-07-20
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,14017.05,2.9,0.02,13953.2,14017.5,13935.75,14014.15,14700.95,12396.1,0,21.91,3.41,1.12,61,139,0,0.17,0.76,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,13911.25,14003.1,13993.45,14014.15,2026-07-20
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,23346.7,10.4,0.04,23244.3,23347.35,23219.45,23336.3,24144.2,20385.65,0,23.04,3.47,1.06,207,291,2,0.31,0.87,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,23144.2,23347.05,23275.15,23336.3,2026-07-20
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,18054.35,123.5,0.69,17902.0,18055.5,17867.5,17930.85,18114.45,14804.55,0,33.49,4.76,0.6,15,35,0,8.46,1.8,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,17735.3,18089.55,16645.4,17930.85,2026-07-20
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,62838.8,410.75,0.66,62335.75,62841.25,62249.75,62428.05,63183.35,52032.85,0,29.97,4.8,0.61,30,70,0,6.32,0.51,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,62517.3,63040.95,59104.5,62428.05,2026-07-20
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,19345.5,49.2,0.25,19274.8,19396.1,19231.05,19296.3,19470.5,14986.0,0,33.22,3.67,0.61,52,48,0,2.04,2.99,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,18784.45,19422.95,18959.65,19296.3,2026-07-20
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,13.17,0.02,0.13,13.15,13.84,13.15,13.15,28.91,8.72,0,0,0,0,,,,15.63,1.54,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,12.97,13.28,11.39,13.15,2026-07-20
BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,23100.5,132.6,0.58,22933.85,23101.2,22903.6,22967.9,23239.65,19218.0,0,29.3,4.76,0.66,49,100,1,5.68,0.56,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,22972.95,23167.4,21858.85,22967.9,2026-07-20
BROAD MARKET INDICES,NIFTY SMALLCAP 50,NIFTY SMLCAP 50,9622.55,45.9,0.48,9570.6,9637.8,9544.9,9576.65,9650.5,7338.35,0,32.61,3.54,0.66,22,28,0,5.02,3.63,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,9285.45,9638.2,9162.55,9576.65,2026-07-20
BROAD MARKET INDICES,NIFTY SMALLCAP 250,NIFTY SMLCAP 250,18035.8,32.3,0.18,17975.2,18073.0,17936.35,18003.5,18194.8,14143.45,0,36.05,3.7,0.64,127,122,1,0.71,1.82,18-Jul-2025,19-Jun-2026,17-Jul-2026,13-Jul-2026,17713.8,18171.85,17909.25,18003.5,2026-07-20
