symbol,futVolume,optVolume,totVolume,futTurnover,optTurnover,totTurnover,preTurnover,latestOI,underlying,_collected_on
NIFTY,40896,99155335,99196231,643676.2476819999,156238432317986.2,4340297.622544,3696621.374862,10375395,24233.45,2026-07-20
BANKNIFTY,33522,2739806,2773328,582148.82082,4789872899601.6,873767.626836,291618.806016,1343029,57855.35,2026-07-20
HDFCBANK,96085,595948,692033,488877.809875,312939500542.5,520388.0253,31510.215425,852992,780.0,2026-07-20
ICICIBANK,36413,265589,302002,371230.79777,273215345676.0,399833.82453,28603.02676,288833,1460.6,2026-07-20
AXISBANK,35996,281913,317909,285134.086,228497237393.75,309699.7724375,24565.6864375,225817,1257.3,2026-07-20
RELIANCE,41035,452310,493345,273826.54275,306408805300.0,305021.24575,31194.703,521627,1330.5,2026-07-20
PNB,17640,117737,135377,156013.3344,106041198400.0,173930.9184,17917.584,76900,111.1,2026-07-20
SBIN,18807,194800,213607,148249.4103,155254174230.0,164437.6776,16188.2673,230530,1050.4,2026-07-20
KOTAKBANK,17314,70725,88039,131745.6248,55137984740.0,137173.1222,5427.4974,172399,381.2,2026-07-20
INFY,24799,91077,115876,108199.17388,40702474128.0,115318.53516,7119.36128,580330,1090.3,2026-07-20
BAJFINANCE,12145,68112,80257,95716.85925,54260487172.5,103128.630975,7411.771725,154936,1062.0,2026-07-20
AUBANK,9036,25206,34242,90985.967,26214401590.0,94989.7829,4003.8159,43036,991.7,2026-07-20
MARUTI,12588,158318,170906,85127.25147,110106115160.5,94733.653075,9606.401605,163037,13462.0,2026-07-20
TCS,15814,117965,133779,80234.0181225,60491043848.25,88519.606605,8285.5884825,421202,2256.0,2026-07-20
UNIONBANK,10700,35402,46102,81859.0409775,27707427780.0,86397.0156525,4537.974675,57749,175.21,2026-07-20
BHEL,6310,47354,53664,69611.4706875,54035456632.5,78373.8088875,8762.3382,79433,417.75,2026-07-20
JIOFIN,12017,81291,93308,67777.967975,47306506387.5,73932.5181,6154.550125,159971,238.89,2026-07-20
MIDCPNIFTY,2655,204143,206798,47036.037612,362424878995.2,70294.317564,23258.279952,140895,14773.9,2026-07-20
TRENT,8576,103701,112277,56281.9464,69847622100.0,66059.2974375,9777.3510375,138869,2923.1,2026-07-20
FEDERALBNK,6744,55295,62039,58796.1065,48751803900.0,64045.2705,5249.164,71619,349.5,2026-07-20
RBLBANK,5126,21604,26730,59762.82815,25966537062.25,63332.8575225,3570.0293725,29327,369.0,2026-07-20
JSWSTEEL,6706,53409,60115,57047.7645225,45999359574.75,63089.75277,6041.9882475,84390,1258.7,2026-07-20
DELHIVERY,5951,18058,24009,60125.9297775,19010135345.75,63087.390735,2961.4609575,35886,486.6,2026-07-20
BANDHANBNK,7924,13039,20963,60407.60832,10270196748.0,62515.8558,2108.24748,51169,211.9,2026-07-20
HCLTECH,12141,45250,57391,58727.15216,22246931004.0,61513.1022,2785.95004,179225,1218.7,2026-07-20
DIXON,6669,83585,90254,47939.115935,61081560437.5,57416.27031,9477.154375,137689,14504.0,2026-07-20
BSE,6368,79775,86143,46188.06892,59992387178.0,55375.2407,9187.17178,116036,3646.6,2026-07-20
KALYANKJIL,5385,64491,69876,41439.943035,49678726896.0,54694.134495,13254.19146,108936,570.0,2026-07-20
BANKBARODA,6589,20456,27045,48641.3708625,15571545765.75,51396.61527,2755.2444075,90722,254.1,2026-07-20
INDUSINDBK,6547,15436,21983,47133.06829,11228215061.0,49387.0489,2253.98061,86256,1028.1,2026-07-20
MCX,6637,52948,59585,41993.11476,34342804692.0,47757.92418,5764.80942,92334,2824.8,2026-07-20
LT,6395,57992,64387,42941.6162,39794307278.25,46877.2114825,3935.5952825,216919,3843.7,2026-07-20
TECHM,4311,35920,40231,40993.99512,34587800376.0,46232.58288,5238.58776,76676,1581.1,2026-07-20
COLPAL,7071,64454,71525,40999.43793,38031545714.25,45974.1050725,4974.6671425,33285,2111.4,2026-07-20
SOLARINDS,4059,49518,53577,38332.45485,48203538571.5,45815.840565,7483.385715,34503,18863.0,2026-07-20
BHARTIARTL,4461,61467,65928,40583.1941625,56813141317.5,44644.7923375,4061.598175,204646,1931.7,2026-07-20
BAJAJ-AUTO,5148,36689,41837,40553.872455,29236386211.5,44303.10957,3749.237115,73131,10454.0,2026-07-20
JSWENERGY,6523,33698,40221,39288.4589775,20987955236.75,43354.155095,4065.6961175,40826,566.4,2026-07-20
ADANIPOWER,4807,25985,30792,37226.378845,21053407805.5,42421.3569,5194.978055,81011,218.74,2026-07-20
IDFCFIRSTB,5201,14478,19679,39119.544065,11094766964.75,40916.9732125,1797.4291475,67663,81.59,2026-07-20
LAURUSLABS,2766,12463,15229,36674.63992,16791100957.0,39651.81949,2977.17957,36422,1563.6,2026-07-20
TVSMOTOR,5866,17540,23406,36861.53912,11315463290.25,38772.7320225,1911.1929025,103674,3577.3,2026-07-20
