symbol,identifier,lastPrice,pChange,quantityTraded,totalTradedVolume,totalTradedValue,previousClose,exDate,purpose,yearHigh,yearLow,change,open,closePrice,dayHigh,dayLow,lastUpdateTime,_collected_on
HDFCBANK,HDFCBANKEQN,780.0,-4.83,40941121,44244802,34562269530.32,819.6,19-Jun-2026,,1020.5,726.65,-39.6,790.0,0,790.0,774.55,2026-07-20 13:47:46,2026-07-20
AXISBANK,AXISBANKEQN,1257.7,-5.33,18629472,20887784,26368738521.6,1328.5,10-Jul-2026,,1418.3,1042.5,-70.8,1275.0,0,1284.0,1249.1,2026-07-20 13:47:46,2026-07-20
ICICIBANK,ICICIBANKEQN,1463.3,1.32,15476835,17043713,24823145361.72,1444.3,12-Aug-2025,,1500.0,1187.6,19.0,1444.5,0,1480.0,1439.5,2026-07-20 13:47:46,2026-07-20
RELIANCE,RELIANCEEQN,1331.4,0.32,10014361,10803251,14391874917.18,1327.2,05-Jun-2026,,1611.8,1253.2,4.2,1317.2,0,1345.9,1314.9,2026-07-20 13:47:47,2026-07-20
BECTORFOOD,BECTORFOODEQN,213.54,13.21,51697150,61821123,12861884640.15,188.63,17-Feb-2026,,313.82,165.0,24.91,187.0,0,215.95,185.1,2026-07-20 13:47:46,2026-07-20
HSCL,HSCLEQN,768.5,3.63,15431043,15809236,12081892428.28,741.55,22-May-2026,,786.85,418.5,26.95,742.05,0,786.85,741.1,2026-07-20 13:47:46,2026-07-20
BEPL,BEPLEQN,130.7,15.56,82986425,87749270,11145034782.7,113.1,13-Jul-2026,,132.88,74.2,17.6,115.75,0,132.88,111.37,2026-07-20 13:47:46,2026-07-20
SBIN,SBINEQN,1051.4,0.68,9133398,10459824,10941185100.48,1044.3,15-May-2026,,1234.7,786.55,7.1,1041.6,0,1057.4,1038.3,2026-07-20 13:47:46,2026-07-20
PNB,PNBEQN,111.16,5.1,81253679,96342519,10641031223.55,105.77,12-Jun-2026,,135.15,98.5,5.39,108.26,0,111.7,107.4,2026-07-20 13:47:46,2026-07-20
KALYANKJIL,KALYANKJILEQN,569.85,-0.79,17061082,18435015,10513304704.35,574.4,04-Sep-2025,,617.7,327.05,-4.55,573.9,0,576.7,563.1,2026-07-20 13:47:43,2026-07-20
CUPID,CUPIDEQN,205.38,-4.38,44413504,48691973,10048075548.28,214.78,09-Mar-2026,,226.0,25.68,-9.4,214.4,0,216.8,201.0,2026-07-20 13:47:46,2026-07-20
BHARTIARTL,BHARTIARTLEQN,1939.5,1.61,3937322,4626599,8939884715.72,1908.8,18-Jul-2025,,2174.5,1740.5,30.7,1901.2,0,1939.9,1901.2,2026-07-20 13:47:46,2026-07-20
KOTAKBANK,KOTAKBANKEQN,381.4,-2.19,20665770,22347612,8488740418.2,389.95,17-Jul-2026,,453.2,345.5,-8.55,382.0,0,383.0,376.1,2026-07-20 13:47:46,2026-07-20
BAJFINANCE,BAJFINANCEEQN,1061.5,0.49,6228218,7626029,7989790583.3,1056.3,30-Jun-2026,,1102.5,787.9,5.2,1057.0,0,1065.9,1038.2,2026-07-20 13:47:42,2026-07-20
BSE,BSEEQN,3646.1,1.8,1606779,1816087,6557036596.11,3581.8,10-Jul-2026,,4446.8,2021.5,64.3,3575.0,0,3652.7,3550.0,2026-07-20 13:47:42,2026-07-20
ITDC,ITDCEQN,780.5,4.91,7092253,7302061,5789731146.29,743.95,08-Sep-2025,,822.0,368.0,36.55,741.55,0,822.0,734.2,2026-07-20 13:47:46,2026-07-20
ATHERENERG,ATHERENERGEQN,1293.3,0.87,3854576,4214311,5452854859.79,1282.2,,,1345.0,329.2,11.1,1282.2,0,1333.9,1272.6,2026-07-20 13:47:42,2026-07-20
TATVA,TATVAEQN,1692.5,18.51,2993615,3179531,5315062996.15,1428.1,12-Sep-2025,,1713.7,927.4,264.4,1525.0,0,1713.7,1520.0,2026-07-20 13:47:46,2026-07-20
INFY,INFYEQN,1091.3,-0.47,4304752,4813694,5260549214.02,1096.5,10-Jun-2026,,1728.0,982.4,-5.2,1102.0,0,1103.8,1083.2,2026-07-20 13:47:47,2026-07-20
MARUTI,MARUTIEQN,13470.0,-2.41,345820,386525,5244869817.25,13803.0,07-Aug-2026,,17370.0,12201.0,-333.0,13824.0,0,13832.0,13377.0,2026-07-20 13:47:43,2026-07-20
