symbol,identifier,lastPrice,pChange,quantityTraded,totalTradedVolume,totalTradedValue,previousClose,exDate,purpose,yearHigh,yearLow,change,open,closePrice,dayHigh,dayLow,lastUpdateTime,_collected_on
PCJEWELLER,PCJEWELLEREQN,9.86,1.65,303128917,313162586,3134757485.86,9.7,16-Dec-2024,,18.0,7.47,0.16,9.75,0,10.27,9.63,2026-07-20 13:47:43,2026-07-20
IDEA,IDEAEQN,13.63,-0.8,184354136,215125626,2934313538.64,13.74,20-Aug-2024,,15.34,6.12,-0.11,13.71,0,13.78,13.56,2026-07-20 13:47:42,2026-07-20
YESBANK,YESBANKEQN,22.98,-2.67,98954073,106778527,2458041691.54,23.61,03-Jun-2019,,25.78,17.2,-0.63,23.65,0,23.65,22.71,2026-07-20 13:47:44,2026-07-20
PNB,PNBEQN,111.16,5.1,81253679,96342519,10641031223.55,105.77,12-Jun-2026,,135.15,98.5,5.39,108.26,0,111.7,107.4,2026-07-20 13:47:46,2026-07-20
BEPL,BEPLEQN,130.7,15.56,82986425,87749270,11145034782.7,113.1,13-Jul-2026,,132.88,74.2,17.6,115.75,0,132.88,111.37,2026-07-20 13:47:46,2026-07-20
BECTORFOOD,BECTORFOODEQN,213.54,13.21,51697150,61821123,12861884640.15,188.63,17-Feb-2026,,313.82,165.0,24.91,187.0,0,215.95,185.1,2026-07-20 13:47:46,2026-07-20
CUPID,CUPIDEQN,205.38,-4.38,44413504,48691973,10048075548.28,214.78,09-Mar-2026,,226.0,25.68,-9.4,214.4,0,216.8,201.0,2026-07-20 13:47:46,2026-07-20
HDFCBANK,HDFCBANKEQN,780.0,-4.83,40941121,44244802,34562269530.32,819.6,19-Jun-2026,,1020.5,726.65,-39.6,790.0,0,790.0,774.55,2026-07-20 13:47:46,2026-07-20
SUZLON,SUZLONEQN,52.86,1.67,36641200,39399248,2075158392.16,51.99,03-Sep-2024,,67.14,38.19,0.87,52.07,0,53.29,51.61,2026-07-20 13:47:44,2026-07-20
JPPOWER,JPPOWEREQN,16.91,0.24,31329648,38080241,645840887.36,16.87,26-Aug-2024,,24.5,13.15,0.04,16.86,0,17.27,16.68,2026-07-20 13:47:42,2026-07-20
GTLINFRA,GTLINFRAEQN,1.26,1.61,35611515,37105469,46381836.25,1.24,21-Sep-2015,,1.78,0.96,0.02,1.24,0,1.28,1.23,2026-07-20 13:47:36,2026-07-20
CANBK,CANBKEQN,128.57,2.85,26663003,31218352,3988768835.04,125.01,12-Jun-2026,,162.89,103.55,3.56,125.15,0,129.14,125.06,2026-07-20 13:47:46,2026-07-20
TATAGOLD,TATAGOLDEQN,13.73,0.88,25212231,28740109,393739493.3,13.61,,,17.7,8.0,0.12,13.65,0,13.79,13.65,2026-07-20 13:47:46,2026-07-20
TATSILV,TATSILVEQN,21.15,1.63,23870163,27931138,589347011.8,20.81,,,35.1,10.44,0.34,20.85,0,21.2,20.85,2026-07-20 13:47:46,2026-07-20
OLAELEC,OLAELECEQN,39.13,-2.59,21358538,27493219,1087356811.45,40.17,,,71.25,22.25,-1.04,39.97,0,40.19,38.82,2026-07-20 13:47:43,2026-07-20
PAISALO,PAISALOEQN,71.18,-0.79,23438255,23953520,1692555723.2,71.75,22-Sep-2025,,77.39,29.86,-0.57,72.0,0,72.8,67.31,2026-07-20 13:47:43,2026-07-20
GMRAIRPORT,GMRAIRPORTEQN,111.44,0.81,23248423,23917596,2652700572.36,110.54,05-Sep-2024,,115.64,84.11,0.9,110.29,0,111.7,109.69,2026-07-20 13:47:47,2026-07-20
KROSS,KROSSEQN,215.93,12.32,22242493,22899854,4974077287.34,192.25,,,237.6,150.52,23.68,194.4,0,224.0,194.0,2026-07-20 13:47:44,2026-07-20
VISL,VISLEQN,33.01,-2.54,20286045,22712113,750408213.52,33.87,,,44.78,19.06,-0.86,33.8,0,33.92,32.51,2026-07-20 13:47:44,2026-07-20
KOTAKBANK,KOTAKBANKEQN,381.4,-2.19,20665770,22347612,8488740418.2,389.95,17-Jul-2026,,453.2,345.5,-8.55,382.0,0,383.0,376.1,2026-07-20 13:47:46,2026-07-20
