Date,Symbol,SecurityName,Quantity
15-JUL-2026,AAVAS,AAVAS FINANCIERS LIMITED,1
15-JUL-2026,ADANIGREEN,ADANI GREEN ENERGY LTD,200
15-JUL-2026,ANANTRAJ,ANANT RAJ LIMITED,500
15-JUL-2026,ARVIND,ARVIND LIMITED,500
15-JUL-2026,ASTRAL,ASTRAL POLY TECHNIK LIMITED,"5,525"
15-JUL-2026,BAJAJ-AUTO,BAJAJ AUTO LIMITED,3
15-JUL-2026,BANDHANBNK,BANDHAN BANK LIMITED,200
15-JUL-2026,BANKBARODA,BANK OF BARODA,1
15-JUL-2026,BDL,BHARAT DYNAMICS LIMITED,1
15-JUL-2026,BHARATFORG,BHARAT FORGE LTD,38
15-JUL-2026,BHEL,BHEL,"3,196"
15-JUL-2026,BIOCON,BIOCON LIMITED.,"4,809"
15-JUL-2026,BSE,BSE LIMITED,1
15-JUL-2026,CGPOWER,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,"2,541"
15-JUL-2026,COCHINSHIP,COCHIN SHIPYARD LIMITED,11
15-JUL-2026,CROMPTON,CROMPT GREA CON ELEC LTD  ,2
15-JUL-2026,DIXON,DIXON TECHNO (INDIA) LTD,530
15-JUL-2026,DLF,DLF LIMITED,1
15-JUL-2026,DMART,AVENUE SUPERMARTS LIMITED,450
15-JUL-2026,DRREDDY,DR. REDDY'S LABORATORIES,2
15-JUL-2026,ETERNAL,ETERNAL LIMITED,498
15-JUL-2026,FEDERALBNK,FEDERAL BANK LTD,75
15-JUL-2026,FEDFINA,FEDBANK FINANCIAL SER L,"1,000"
15-JUL-2026,FORCEMOT,FORCE MOTORS LIMITED,11
15-JUL-2026,FORTIS,FORTIS HEALTHCARE (I) LTD,2
15-JUL-2026,GOLDIAM,GOLDIAM INTERNATIONAL LTD,1
15-JUL-2026,GRAPHITE,GRAPHITE INDIA LIMITED,1
15-JUL-2026,GVPIL,GE POWER INDIA LIMITED,437
15-JUL-2026,HDFCLIFE,HDFC STANDARD LIFE INSURANCE COMPANY LIMITED,2
15-JUL-2026,HEG,HEG LIMITED,"2,700"
15-JUL-2026,HFCL,HIMACHAL FUTURISTIC COMMUNICATIONS LIMITED,"16,663"
15-JUL-2026,HIRECT,HIND RECTIFIER LIMITED,"9,969"
15-JUL-2026,ICICIBANK,ICICI BANK LTD.,1
15-JUL-2026,ICICIPRULI,ICICI PRU LIFE INS CO LTD ,500
15-JUL-2026,INDUSINDBK,INDUSIND BANK LIMITED,20
15-JUL-2026,INFY,INFOSYS TECHNOLOGIES LTD,1
15-JUL-2026,INOXWIND,INOX WIND LIMITED        ,6
15-JUL-2026,IREDA,INDIAN RENEWABLE ENERGY,"13,600"
15-JUL-2026,ITC,ITC LTD,2
15-JUL-2026,JINDALSTEL,JINDAL STEEL & POWER LTD,1
15-JUL-2026,JSFB,JANA SMALL FIN BANK LTD,1
15-JUL-2026,JUSTDIAL,JUST DIAL LIMITED,200
15-JUL-2026,JYOTICNC,JYOTI CNC AUTOMATION LTD,37
15-JUL-2026,KALYANKJIL,KALYAN JEWELLERS IND LTD,123
15-JUL-2026,KWIL,KWALITY WALL'S (INDIA) L,1
15-JUL-2026,LT,LARSEN & TOUBRO LTD.,1
15-JUL-2026,LTF,L&T FINANCE LIMITED,"6,750"
15-JUL-2026,M&M,MAHINDRA & MAHINDRA LTD,1
15-JUL-2026,MAXHEALTH,MAX HEALTHCARE INS LTD,50
15-JUL-2026,MEESHO,MEESHO LIMITED,"10,000"
15-JUL-2026,MOSCHIP,MOSCHIP TECHNOLOGIES LTD,26
15-JUL-2026,OFSS,Oracle Financial Services Software Limited,5
15-JUL-2026,OIL,OIL INDIA LTD,50
15-JUL-2026,PAGEIND,PAGE INDUSTRIES LTD,4
15-JUL-2026,PARADEEP,PARADEEP PHOSPHATES LTD,300
15-JUL-2026,PARAGMILK,PARAG MILK FOODS LTD.   ,1
15-JUL-2026,PATANJALI,PATANJALI FOODS LIMITED,220
15-JUL-2026,PAYTM,ONE 97 COMMUNICATIONS LTD,13
15-JUL-2026,PCJEWELLER,PC JEWELLER LTD          ,54
15-JUL-2026,PFC,POWER FIN CORP LTD.,5
15-JUL-2026,PNB,PUNJAB NATIONAL BANK,10
15-JUL-2026,POLICYBZR,PB FINTECH LIMITED,1
15-JUL-2026,POWERINDIA,ABB POWER PRO N SYS IND L,26
15-JUL-2026,PRESTIGE,PRESTIGE ESTATES PROJECTS LIMITED,100
15-JUL-2026,RADICO,RADICO KHAITAN LIMITED,21
15-JUL-2026,RAIN,RAIN INDUSTRIES LIMITED,10
15-JUL-2026,RAYMONDREL,RAYMOND REALTY LIMITED,100
15-JUL-2026,RELIANCE,RELIANCE INDUSTRIES LTD,10
15-JUL-2026,ROLEXRINGS,ROLEX RINGS LIMITED,192
15-JUL-2026,RPOWER,RELIANCE POWER LTD.,1
15-JUL-2026,SFL,SFL,2
15-JUL-2026,SGMART,SG MART LIMITED,1
15-JUL-2026,SPARC,SUN PHARMA ADV.RES.CO.LTD,500
15-JUL-2026,SUNPHARMA,SUN PHARMACEUTICALS IND.,10
15-JUL-2026,SWIGGY,SWIGGY LIMITED,"1,551"
15-JUL-2026,TATAELXSI,TATA ELXSI LIMITED       ,"9,625"
