symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,perChange,legend,_collected_on
TECHM,EQ,1577.6,1608.0,1576.0,1583.2,1572.9,0.65,1588287,25252.3338417,N,03-Jul-2026,Dividend - Rs 36 Per Share,0.65,NIFTY,2026-07-20
COALINDIA,EQ,428.15,433.5,428.15,429.95,427.65,0.54,2062921,8901.9166992,N,18-Feb-2026,Interim Dividend - Rs 5.50 Per Share,0.54,NIFTY,2026-07-20
GRASIM,EQ,3135.0,3140.0,3085.0,3125.8,3109.7,0.52,119851,3735.8395657,N,07-Aug-2026,Dividend - Rs 10 Per Share,0.52,NIFTY,2026-07-20
REGENCERAM,EQ,38.39,40.0,37.13,40.0,37.12,7.76,993,0.389256,N,23-Sep-2024,Annual General Meeting,7.76,SecGtr20,2026-07-20
SPECIALITY,EQ,128.06,141.0,128.01,138.5,129.06,7.31,110798,152.5023672,N,28-Aug-2025,Dividend - Re 1 Per Share,7.31,SecGtr20,2026-07-20
PODDARMENT,EQ,231.99,241.7,230.0,241.44,225.52,7.06,9538,22.738592,N,19-Sep-2025,Dividend - Rs 4 Per Share,7.06,SecGtr20,2026-07-20
THYROCARE,EQ,520.0,558.6,515.35,556.95,520.6,6.98,587268,3225.7456704,N,23-Jun-2026,Dividend - Rs 7 Per Share,6.98,SecGtr20,2026-07-20
QUINTEGRA,BE,1.42,1.42,1.31,1.42,1.36,4.41,21882,0.3085362,N,07-Aug-2024,Annual General Meeting,4.41,SecLwr20,2026-07-20
MADHUCON,BE,5.49,5.67,5.35,5.61,5.46,2.75,8271,0.4582133999999999,N,20-Sep-2024,Annual General Meeting,2.75,SecLwr20,2026-07-20
INFOMEDIA,EQ,5.68,5.69,5.5,5.68,5.53,2.71,2540,0.14351,N,10-Aug-2018,Annual General Meeting,2.71,SecLwr20,2026-07-20
SABEVENTS,EQ,7.51,8.28,7.51,8.1,7.89,2.66,42205,3.317313,N,09-Sep-2024,Annual General Meeting,2.66,SecLwr20,2026-07-20
SVPGLOB,BE,4.0,4.0,3.71,3.99,3.89,2.57,3260,0.12551,N,20-Sep-2024,Annual General Meeting,2.57,SecLwr20,2026-07-20
HAVISHA,EQ,1.24,1.24,1.21,1.24,1.21,2.48,4195,0.0515985,N,17-Sep-2024,Annual General Meeting,2.48,SecLwr20,2026-07-20
LASA,EQ,7.12,7.33,7.12,7.28,7.11,2.39,2073,0.1496706,N,20-Sep-2024,Annual General Meeting,2.39,SecLwr20,2026-07-20
AKSHAR,EQ,0.43,0.44,0.42,0.43,0.42,2.38,199915,0.839643,N,20-Sep-2024,Annual General Meeting,2.38,SecLwr20,2026-07-20
DIVISLAB,EQ,7260.0,7438.5,7237.5,7405.0,7247.5,2.17,207783,15307.3943883,N,24-Jul-2026,Dividend - Rs 30 Per Share,2.17,FOSec,2026-07-20
RADICO,EQ,4107.5,4185.0,4088.0,4181.0,4097.9,2.03,267387,11074.8219369,N,24-Jul-2026,Dividend - Rs 9 Per Share,2.03,FOSec,2026-07-20
ZYDUSLIFE,EQ,1140.7,1166.7,1140.7,1165.7,1143.7,1.92,363216,4207.2035712,N,24-Jul-2026,Dividend - Re 1 Per Share,1.92,FOSec,2026-07-20
REGENCERAM,EQ,38.39,40.0,37.13,40.0,37.12,7.76,993,0.389256,N,23-Sep-2024,Annual General Meeting,7.76,allSec,2026-07-20
SPECIALITY,EQ,128.06,141.0,128.01,138.5,129.06,7.31,110798,152.5023672,N,28-Aug-2025,Dividend - Re 1 Per Share,7.31,allSec,2026-07-20
SHBAJRG,EQ,184.95,198.99,183.06,192.9,179.81,7.28,22836,44.13970440000001,N,-,-,7.28,allSec,2026-07-20
PODDARMENT,EQ,231.99,241.7,230.0,241.44,225.52,7.06,9538,22.738592,N,19-Sep-2025,Dividend - Rs 4 Per Share,7.06,allSec,2026-07-20
UNITDSPR,EQ,1367.0,1387.9,1363.5,1386.0,1375.8,0.74,294892,4070.6301896,N,08-Jul-2026,Dividend - Rs 11 Per Share,0.74,NIFTYNEXT50,2026-07-20
JSFB,EQ,496.7,536.0,493.25,528.7,493.0,7.24,3479229,18301.0924629,N,11-Jun-2024,Annual General Meeting,7.24,SecGtr20,2026-07-20
SHBAJRG,EQ,184.95,198.99,183.06,192.6,179.81,7.11,23562,45.538277400000005,N,-,-,7.11,SecGtr20,2026-07-20
IEX,EQ,122.0,125.75,120.91,125.45,122.8,2.16,4537417,5585.560327,N,15-May-2026,Dividend - Rs 2 Per Share,2.16,FOSec,2026-07-20
TIPSMUSIC,EQ,700.0,741.0,689.15,718.05,669.0,7.33,2862463,20573.0940736,N,23-Jan-2026,Interim Dividend - Rs 5 Per Share,7.33,allSec,2026-07-20
JSFB,EQ,496.7,536.0,493.25,528.7,493.0,7.24,3479229,18301.0924629,N,11-Jun-2024,Annual General Meeting,7.24,allSec,2026-07-20
