symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,perChange,legend,_collected_on
MUTHOOTFIN,EQ,2995.0,3019.9,2964.6,2989.2,2989.5,-0.01,321165,9602.576568,N,17-Apr-2026,Interim Dividend - Rs 30 Per Share,-0.01,NIFTYNEXT50,2026-07-20
UNITEDPOLY,BE,28.7,30.4,28.21,28.21,29.69,-4.98,53224,15.248676,N,02-May-2025,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,-4.98,SecGtr20,2026-07-20
TVVISION,EQ,5.03,5.03,4.7,4.72,4.93,-4.26,10517,0.4974541,N,23-Aug-2024,Annual General Meeting,-4.26,SecLwr20,2026-07-20
CENTEXT,EQ,19.65,19.65,18.63,18.85,19.41,-2.89,55963,10.6777404,N,02-Aug-2024,Annual General Meeting,-2.89,SecLwr20,2026-07-20
BHEL,EQ,422.4,427.25,414.4,417.9,422.0,-0.97,9027838,37851.9191664,N,17-Jul-2026,Dividend - Rs 1.40 Per Share,-0.97,FOSec,2026-07-20
UNITEDPOLY,BE,28.7,30.4,28.21,28.21,29.69,-4.98,53224,15.248676,N,02-May-2025,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,-4.98,allSec,2026-07-20
AXISBANK,EQ,1275.0,1284.0,1249.1,1257.9,1328.5,-5.31,20905511,263911.17086400004,N,10-Jul-2026,Dividend - Re 1 Per Share,-5.31,NIFTY,2026-07-20
HDFCBANK,EQ,790.0,790.0,774.55,779.95,819.6,-4.84,44332916,346311.0066256,N,19-Jun-2026,Dividend - Rs 13 Per Share,-4.84,NIFTY,2026-07-20
MARUTI,EQ,13824.0,13832.0,13377.0,13470.0,13803.0,-2.41,386740,52477.640102,N,07-Aug-2026,Dividend - Rs 140 Per Share,-2.41,NIFTY,2026-07-20
KOTAKBANK,EQ,382.0,383.0,376.1,381.45,389.95,-2.18,22385062,85031.8965132,N,17-Jul-2026,Dividend - Rs 0.65 Per Share,-2.18,NIFTY,2026-07-20
JIOFIN,EQ,243.0,243.11,238.1,238.99,242.98,-1.64,15448629,37044.267479099995,N,11-Aug-2025,Dividend - Re 0.50 Per Share,-1.64,NIFTY,2026-07-20
SBILIFE,EQ,1831.0,1835.0,1803.4,1809.5,1829.4,-1.09,172772,3139.8719419999998,N,06-Mar-2026,Interim Dividend - Rs 2.70 Per Share,-1.09,NIFTY,2026-07-20
M&M,EQ,3179.2,3183.5,3140.5,3161.8,3179.2,-0.55,1185898,37518.373615799996,N,03-Jul-2026,Dividend - Rs 33 Per Share,-0.55,NIFTY,2026-07-20
TCS,EQ,2280.1,2283.4,2245.1,2256.9,2269.0,-0.53,1536783,34715.466935100005,N,15-Jul-2026,Interim Dividend - Rs 12 Per Share,-0.53,NIFTY,2026-07-20
SHRIRAMFIN,EQ,1040.0,1040.0,1018.0,1030.4,1034.9,-0.43,2133452,21857.8557756,N,03-Jul-2026,Dividend - Rs 6 Per Share,-0.43,NIFTY,2026-07-20
HINDUNILVR,EQ,2153.8,2153.8,2128.4,2134.8,2143.8,-0.42,393289,8402.3048538,N,23-Jun-2026,Dividend - Rs 22 Per Share,-0.42,NIFTY,2026-07-20
INFY,EQ,1102.0,1103.8,1083.2,1091.9,1096.5,-0.42,4818415,52657.0846445,N,10-Jun-2026,Dividend - Rs 25 Per Share,-0.42,NIFTY,2026-07-20
TMPV,EQ,335.5,336.75,332.45,334.4,335.6,-0.36,4459176,14918.6192256,N,19-Jun-2026,Dividend - Rs 3 Per Share,-0.36,NIFTY,2026-07-20
ASIANPAINT,EQ,2689.0,2708.5,2666.7,2679.9,2689.0,-0.34,377398,10137.3631576,N,23-Jun-2026,Dividend - Rs 23 Per Share,-0.34,NIFTY,2026-07-20
BEL,EQ,408.55,409.5,406.1,408.1,409.45,-0.33,3743260,15252.661522,N,06-Mar-2026,Interim Dividend - Rs 1.95 Per Share,-0.33,NIFTY,2026-07-20
EICHERMOT,EQ,7569.0,7581.0,7478.0,7542.0,7563.5,-0.28,176539,13283.8359401,N,01-Aug-2025,Dividend - Rs 70 Per Share,-0.28,NIFTY,2026-07-20
KOTAKBANK,EQ,382.0,383.0,376.1,381.45,389.95,-2.18,22385062,85031.8965132,N,17-Jul-2026,Dividend - Rs 0.65 Per Share,-2.18,BANKNIFTY,2026-07-20
YESBANK,EQ,23.65,23.65,22.71,22.99,23.61,-2.63,106823787,24590.835767399996,N,03-Jun-2019,Annual General Meeting/ Dividend - Rs 2 Per Share,-2.63,BANKNIFTY,2026-07-20
AUBANK,EQ,1036.0,1038.6,989.6,993.4,1030.2,-3.57,2138774,21468.1579024,N,04-Jul-2025,Dividend - Re 1 Per Share,-3.57,BANKNIFTY,2026-07-20
HDFCBANK,EQ,790.0,790.0,774.55,779.95,819.6,-4.84,44332916,346311.0066256,N,19-Jun-2026,Dividend - Rs 13 Per Share,-4.84,BANKNIFTY,2026-07-20
AXISBANK,EQ,1275.0,1284.0,1249.1,1257.9,1328.5,-5.31,20905511,263911.17086400004,N,10-Jul-2026,Dividend - Re 1 Per Share,-5.31,BANKNIFTY,2026-07-20
TMCV,EQ,413.0,414.65,406.1,408.5,414.65,-1.48,4702831,19261.8552098,N,12-Jun-2026,Dividend - Rs 4 Per Share,-1.48,NIFTYNEXT50,2026-07-20
TATACAP,EQ,353.8,353.8,346.65,350.1,354.2,-1.16,421401,1470.3945093,N,27-Jul-2026,Dividend - Re 0.57 Per Share,-1.16,NIFTYNEXT50,2026-07-20
CHOLAFIN,EQ,1789.9,1789.9,1756.1,1785.3,1804.9,-1.09,578612,10265.5605204,N,21-Jul-2026,Dividend - Re 0.70 Per Share,-1.09,NIFTYNEXT50,2026-07-20
TVSMOTOR,EQ,3619.8,3619.8,3550.1,3581.5,3618.2,-1.01,264933,9478.3489812,N,30-Mar-2026,Interim Dividend - Rs 12 Per Share,-1.01,NIFTYNEXT50,2026-07-20
HYUNDAI,EQ,1990.0,2004.9,1972.7,1974.7,1993.3,-0.93,207562,4122.9492994,N,05-Aug-2025,Dividend - Rs 21 Per Share,-0.93,NIFTYNEXT50,2026-07-20
