identifier,symbol,series,marketType,pchange,change,basePrice,previousClose,lastPrice,totalTradedVolume,issuedCap,totalTradedValue,totalMarketCap,_collected_on
TANKUPSTG,TANKUP,ST,G,1.04,12.1,0,1157.9,1170.0,0.005,5295000,0.0585,619.515,2026-07-20
PENINLANDBEG,PENINLAND,BE,G,-1.97,-0.35,0,17.77,17.42,0.06489,331728220,0.011303838,577.87055924,2026-07-20
SUPERSPINBEG,SUPERSPIN,BE,G,0.59,0.03,0,5.1,5.13,0.10002,55000000,0.005121024,28.215,2026-07-20
VLEGOVBEG,VLEGOV,BE,G,-1.99,-0.23,0,11.58,11.35,0.02651,108451329,0.0030088849999999,123.09225841500002,2026-07-20
ATCENERGYSTG,ATCENERGY,ST,G,-1.91,-0.45,0,23.5,23.05,0.012,20388600,0.002766,46.995723,2026-07-20
VITALBEG,VITAL,BE,G,-1.99,-1.01,0,50.77,49.76,0.005,23951100,0.002495,119.1806736,2026-07-20
GLFLBEG,GLFL,BE,G,-1.67,-0.09,0,5.39,5.3,0.00748,27125767,0.00039644,14.37665651,2026-07-20
HDFCBANKEQN,HDFCBANK,EQ,N,-4.83,-39.6,0,819.6,780.0,442.44802,15401327492,3456.226953032,1201303.544376,2026-07-20
AXISBANKEQN,AXISBANK,EQ,N,-5.33,-70.8,0,1328.5,1257.7,208.87784,3110966671,2636.87385216,391266.27821167,2026-07-20
ICICIBANKEQN,ICICIBANK,EQ,N,1.32,19.0,0,1444.3,1463.3,170.43713,7174130133,2482.3145361720003,1049790.46236189,2026-07-20
RELIANCEEQN,RELIANCE,EQ,N,0.32,4.2,0,1327.2,1331.4,108.03251,13532538722,1439.187491718,1801722.20544708,2026-07-20
BECTORFOODEQN,BECTORFOOD,EQ,N,13.21,24.91,0,188.63,213.54,618.21123,306990595,1286.188464015,6555.47716563,2026-07-20
HSCLEQN,HSCL,EQ,N,3.63,26.95,0,741.55,768.5,158.09236,504541599,1208.189242828,38774.02188315,2026-07-20
BEPLEQN,BEPL,EQ,N,15.56,17.6,0,113.1,130.7,877.4927,248858460,1114.5034782700002,3252.5800722,2026-07-20
SBINEQN,SBIN,EQ,N,0.68,7.1,0,1044.3,1051.4,104.59824,9230617586,1094.118510048,970507.13299204,2026-07-20
PNBEQN,PNB,EQ,N,5.1,5.39,0,105.77,111.16,963.42519,11492943268,1064.1031223549999,127755.557367088,2026-07-20
KALYANKJILEQN,KALYANKJIL,EQ,N,-0.79,-4.55,0,574.4,569.85,184.35015,1032740207,1051.330470435,58850.700695895,2026-07-20
CUPIDEQN,CUPID,EQ,N,-4.38,-9.4,0,214.78,205.38,486.91973,1344660700,1004.8075548280001,27616.6414566,2026-07-20
BHARTIARTLEQN,BHARTIARTL,EQ,N,1.61,30.7,0,1908.8,1939.5,46.26599,6240040719,893.988471572,1210255.8974500499,2026-07-20
KOTAKBANKEQN,KOTAKBANK,EQ,N,-2.19,-8.55,0,389.95,381.4,223.47612,9947370773,848.87404182,379392.72128222,2026-07-20
BAJFINANCEEQN,BAJFINANCE,EQ,N,0.49,5.2,0,1056.3,1061.5,76.26029,6225614304,798.97905833,660848.9583696,2026-07-20
BSEEQN,BSE,EQ,N,1.8,64.3,0,3581.8,3646.1,18.16087,407884077,655.7036596109999,148718.61331497,2026-07-20
ITDCEQN,ITDC,EQ,N,4.91,36.55,0,743.95,780.5,73.02061,85769400,578.973114629,6694.30167,2026-07-20
ATHERENERGEQN,ATHERENERG,EQ,N,0.87,11.1,0,1282.2,1293.3,42.14311,383310002,545.285485979,49573.48255866,2026-07-20
TATVAEQN,TATVA,EQ,N,18.51,264.4,0,1428.1,1692.5,31.79531,23392055,531.506299615,3959.10530875,2026-07-20
INFYEQN,INFY,EQ,N,-0.47,-5.2,0,1096.5,1091.3,48.13694,4057578830,526.054921402,442803.5777179,2026-07-20
MARUTIEQN,MARUTI,EQ,N,-2.41,-333.0,0,13803.0,13470.0,3.86525,314402574,524.486981725,423500.267178,2026-07-20
KROSSEQN,KROSS,EQ,N,12.32,23.68,0,192.25,215.93,228.99854,64509422,497.407728734,1392.951949246,2026-07-20
INDIGOEQN,INDIGO,EQ,N,0.17,9.0,0,5248.5,5257.5,9.39706,386666597,488.11430669799995,203289.96337274997,2026-07-20
GABRIELEQN,GABRIEL,EQ,N,5.48,73.3,0,1336.6,1409.9,32.21825,143643940,455.324418125,20252.359100600002,2026-07-20
AEGISLOGEQN,AEGISLOG,EQ,N,3.9,52.6,0,1349.1,1401.7,30.9928,351000000,437.51915904,49199.67,2026-07-20
DIXONEQN,DIXON,EQ,N,1.39,199.0,0,14329.0,14528.0,2.83296,61142131,408.61765152,88827.28791679999,2026-07-20
GROWWEQN,GROWW,EQ,N,-2.11,-4.4,0,208.3,203.9,197.41088,6273596631,403.981624832,127918.63530609,2026-07-20
ADANIPOWEREQN,ADANIPOWER,EQ,N,2.08,4.47,0,214.45,218.92,184.60036,19284694705,400.527401092,422180.53648186,2026-07-20
CANBKEQN,CANBK,EQ,N,2.85,3.56,0,125.01,128.57,312.18352,9070651260,398.876883504,116621.36324982,2026-07-20
